session_id,stock_id,open_price,close_price,high_price,low_price,volume_detail,ceiling_price,floor_price,buy_volume,sell_volume,net_volume,matched_value,adjust_price,change_percent,outstanding_share,name,code,stock_space,join_date,leave_date,init_price,category,year,month,day_of_month,volume_session
4816,2450,1.0,1.0,1.0,1.0,0,0.0,0.0,0,0,0,0.0,1.0,0.0,0,Công ty Cổ phần Phân phối Top One,TOP,UPCOM,2015-07-23,,0.0,Dịch vụ,2023,5,18,452755000000.0
4815,2450,1.1,1.1,1.1,1.1,16900,0.0,0.0,0,0,0,18590000.0,1.1,0.1,0,Công ty Cổ phần Phân phối Top One,TOP,UPCOM,2015-07-23,,0.0,Dịch vụ,2023,5,19,610612000000.0
4814,2450,1.1,1.1,1.1,1.1,0,0.0,0.0,0,0,0,0.0,1.1,0.0,0,Công ty Cổ phần Phân phối Top One,TOP,UPCOM,2015-07-23,,0.0,Dịch vụ,2023,5,22,541384000000.0
4813,2450,1.1,1.1,1.1,1.1,0,0.0,0.0,0,0,0,0.0,1.1,0.0,0,Công ty Cổ phần Phân phối Top One,TOP,UPCOM,2015-07-23,,0.0,Dịch vụ,2023,5,23,589042000000.0
4812,2450,1.1,1.1,1.1,1.1,0,0.0,0.0,0,0,0,0.0,1.1,0.0,0,Công ty Cổ phần Phân phối Top One,TOP,UPCOM,2015-07-23,,0.0,Dịch vụ,2023,5,24,417134000000.0
4811,2450,1.1,1.1,1.1,1.1,0,0.0,0.0,0,0,0,0.0,1.1,0.0,0,Công ty Cổ phần Phân phối Top One,TOP,UPCOM,2015-07-23,,0.0,Dịch vụ,2023,5,25,457573000000.0
4810,2450,1.1,1.2,1.2,1.1,22800,0.0,0.0,0,0,0,26750000.0,1.2,0.1,0,Công ty Cổ phần Phân phối Top One,TOP,UPCOM,2015-07-23,,0.0,Dịch vụ,2023,5,26,867663000000.0
4809,2450,1.2,1.2,1.2,1.2,0,0.0,0.0,0,0,0,0.0,1.2,0.0,0,Công ty Cổ phần Phân phối Top One,TOP,UPCOM,2015-07-23,,0.0,Dịch vụ,2023,5,29,598726000000.0
4808,2450,1.2,1.2,1.2,1.2,0,0.0,0.0,0,0,0,0.0,1.2,0.0,0,Công ty Cổ phần Phân phối Top One,TOP,UPCOM,2015-07-23,,0.0,Dịch vụ,2023,5,30,797759000000.0
4807,2450,1.2,1.2,1.2,1.2,0,0.0,0.0,0,0,0,0.0,1.2,0.0,0,Công ty Cổ phần Phân phối Top One,TOP,UPCOM,2015-07-23,,0.0,Dịch vụ,2023,5,31,860345000000.0
4806,2450,1.2,1.2,1.2,1.2,0,0.0,0.0,0,0,0,0.0,1.2,0.0,0,Công ty Cổ phần Phân phối Top One,TOP,UPCOM,2015-07-23,,0.0,Dịch vụ,2023,6,1,784243000000.0
4805,2450,1.3,1.3,1.3,1.3,24500,0.0,0.0,0,0,0,31850000.0,1.3,0.1,0,Công ty Cổ phần Phân phối Top One,TOP,UPCOM,2015-07-23,,0.0,Dịch vụ,2023,6,2,911677000000.0
4804,2450,1.3,1.3,1.3,1.3,0,0.0,0.0,0,0,0,0.0,1.3,0.0,0,Công ty Cổ phần Phân phối Top One,TOP,UPCOM,2015-07-23,,0.0,Dịch vụ,2023,6,5,850691000000.0
4803,2450,1.3,1.3,1.3,1.3,0,0.0,0.0,0,0,0,0.0,1.3,0.0,0,Công ty Cổ phần Phân phối Top One,TOP,UPCOM,2015-07-23,,0.0,Dịch vụ,2023,6,6,735226000000.0
4802,2450,1.3,1.3,1.3,1.3,0,0.0,0.0,0,0,0,0.0,1.3,0.0,0,Công ty Cổ phần Phân phối Top One,TOP,UPCOM,2015-07-23,,0.0,Dịch vụ,2023,6,7,779549000000.0
4801,2450,1.3,1.3,1.3,1.3,0,0.0,0.0,0,0,0,0.0,1.3,0.0,0,Công ty Cổ phần Phân phối Top One,TOP,UPCOM,2015-07-23,,0.0,Dịch vụ,2023,6,8,972083000000.0
4800,2450,1.4,1.4,1.4,1.4,49700,0.0,0.0,0,0,0,69580000.0,1.4,0.1,0,Công ty Cổ phần Phân phối Top One,TOP,UPCOM,2015-07-23,,0.0,Dịch vụ,2023,6,9,784155000000.0
4799,2450,1.4,1.4,1.4,1.4,0,0.0,0.0,0,0,0,0.0,1.4,0.0,0,Công ty Cổ phần Phân phối Top One,TOP,UPCOM,2015-07-23,,0.0,Dịch vụ,2023,6,12,637523000000.0
4798,2450,1.4,1.4,1.4,1.4,0,0.0,0.0,0,0,0,0.0,1.4,0.0,0,Công ty Cổ phần Phân phối Top One,TOP,UPCOM,2015-07-23,,0.0,Dịch vụ,2023,6,14,763309000000.0
4797,2450,1.4,1.4,1.4,1.4,0,0.0,0.0,0,0,0,0.0,1.4,0.0,0,Công ty Cổ phần Phân phối Top One,TOP,UPCOM,2015-07-23,,0.0,Dịch vụ,2023,6,15,619574000000.0
4796,2450,1.6,1.6,1.6,1.6,110800,0.0,0.0,0,0,0,177280000.0,1.6,0.2,0,Công ty Cổ phần Phân phối Top One,TOP,UPCOM,2015-07-23,,0.0,Dịch vụ,2023,6,16,897713000000.0
4795,2450,1.6,1.6,1.6,1.6,0,0.0,0.0,0,0,0,0.0,1.6,0.0,0,Công ty Cổ phần Phân phối Top One,TOP,UPCOM,2015-07-23,,0.0,Dịch vụ,2023,6,19,554708000000.0
4794,2450,1.6,1.6,1.6,1.6,0,0.0,0.0,0,0,0,0.0,1.6,0.0,0,Công ty Cổ phần Phân phối Top One,TOP,UPCOM,2015-07-23,,0.0,Dịch vụ,2023,6,20,557490000000.0
4793,2450,1.6,1.6,1.6,1.6,0,0.0,0.0,0,0,0,0.0,1.6,0.0,0,Công ty Cổ phần Phân phối Top One,TOP,UPCOM,2015-07-23,,0.0,Dịch vụ,2023,6,21,817903000000.0
4792,2450,1.6,1.6,1.6,1.6,0,0.0,0.0,0,0,0,0.0,1.6,0.0,0,Công ty Cổ phần Phân phối Top One,TOP,UPCOM,2015-07-23,,0.0,Dịch vụ,2023,6,22,833329000000.0
4791,2450,1.8,1.7,1.8,1.6,136200,0.0,0.0,0,0,0,231660000.0,1.7,0.1,0,Công ty Cổ phần Phân phối Top One,TOP,UPCOM,2015-07-23,,0.0,Dịch vụ,2023,6,23,847219000000.0
4790,2450,1.7,1.7,1.7,1.7,0,0.0,0.0,0,0,0,0.0,1.7,0.0,0,Công ty Cổ phần Phân phối Top One,TOP,UPCOM,2015-07-23,,0.0,Dịch vụ,2023,6,26,860095000000.0
4789,2450,1.7,1.7,1.7,1.7,0,0.0,0.0,0,0,0,0.0,1.7,0.0,0,Công ty Cổ phần Phân phối Top One,TOP,UPCOM,2015-07-23,,0.0,Dịch vụ,2023,6,27,567850000000.0
4788,2450,1.7,1.7,1.7,1.7,0,0.0,0.0,0,0,0,0.0,1.7,0.0,0,Công ty Cổ phần Phân phối Top One,TOP,UPCOM,2015-07-23,,0.0,Dịch vụ,2023,6,28,659102000000.0
4787,2450,1.7,1.7,1.7,1.7,0,0.0,0.0,0,0,0,0.0,1.7,0.0,0,Công ty Cổ phần Phân phối Top One,TOP,UPCOM,2015-07-23,,0.0,Dịch vụ,2023,6,29,666695000000.0
4786,2450,1.5,1.5,1.5,1.5,14200,0.0,0.0,0,0,0,21300000.0,1.5,-0.2,0,Công ty Cổ phần Phân phối Top One,TOP,UPCOM,2015-07-23,,0.0,Dịch vụ,2023,6,30,543269000000.0
4785,2450,1.5,1.5,1.5,1.5,0,0.0,0.0,0,0,0,0.0,1.5,0.0,0,Công ty Cổ phần Phân phối Top One,TOP,UPCOM,2015-07-23,,0.0,Dịch vụ,2023,7,3,477651000000.0
4784,2450,1.5,1.5,1.5,1.5,0,0.0,0.0,0,0,0,0.0,1.5,0.0,0,Công ty Cổ phần Phân phối Top One,TOP,UPCOM,2015-07-23,,0.0,Dịch vụ,2023,7,4,638481000000.0
4783,2450,1.5,1.5,1.5,1.5,0,0.0,0.0,0,0,0,0.0,1.5,0.0,0,Công ty Cổ phần Phân phối Top One,TOP,UPCOM,2015-07-23,,0.0,Dịch vụ,2023,7,5,701030000000.0
4782,2450,1.5,1.5,1.5,1.5,0,0.0,0.0,0,0,0,0.0,1.5,0.0,0,Công ty Cổ phần Phân phối Top One,TOP,UPCOM,2015-07-23,,0.0,Dịch vụ,2023,7,6,637903000000.0
4781,2450,1.5,1.5,1.6,1.5,54200,0.0,0.0,0,0,0,81690000.0,1.5,0.0,0,Công ty Cổ phần Phân phối Top One,TOP,UPCOM,2015-07-23,,0.0,Dịch vụ,2023,7,7,729580000000.0
4780,2450,1.5,1.5,1.5,1.5,0,0.0,0.0,0,0,0,0.0,1.5,0.0,0,Công ty Cổ phần Phân phối Top One,TOP,UPCOM,2015-07-23,,0.0,Dịch vụ,2023,7,10,1270370000000.0
4779,2450,1.5,1.5,1.5,1.5,0,0.0,0.0,0,0,0,0.0,1.5,0.0,0,Công ty Cổ phần Phân phối Top One,TOP,UPCOM,2015-07-23,,0.0,Dịch vụ,2023,7,11,779753000000.0
4778,2450,1.5,1.5,1.5,1.5,0,0.0,0.0,0,0,0,0.0,1.5,0.0,0,Công ty Cổ phần Phân phối Top One,TOP,UPCOM,2015-07-23,,0.0,Dịch vụ,2023,7,12,885074000000.0
