session_id,stock_id,open_price,close_price,high_price,low_price,volume_detail,ceiling_price,floor_price,buy_volume,sell_volume,net_volume,matched_value,adjust_price,change_percent,outstanding_share,name,code,stock_space,join_date,leave_date,init_price,category,year,month,day_of_month,volume_session
4816,2965,18.0,18.0,18.0,18.0,0,0.0,0.0,0,0,0,0.0,15.11,0.0,0,Công ty cổ phần Cấp nước Trà Nóc - Ô Môn,TOW,UPCOM,2019-01-25,,0.0,Dịch vụ,2023,5,18,452755000000.0
4815,2965,15.5,18.0,18.0,15.5,1201,0.0,0.0,0,0,0,21365500.0,15.11,0.0,0,Công ty cổ phần Cấp nước Trà Nóc - Ô Môn,TOW,UPCOM,2019-01-25,,0.0,Dịch vụ,2023,5,19,610612000000.0
4814,2965,15.6,16.0,16.0,15.6,200,0.0,0.0,0,0,0,3160000.0,13.43,-1.8,0,Công ty cổ phần Cấp nước Trà Nóc - Ô Môn,TOW,UPCOM,2019-01-25,,0.0,Dịch vụ,2023,5,22,541384000000.0
4813,2965,16.0,18.1,18.1,16.0,200,0.0,0.0,0,0,0,3410000.0,15.19,2.3,0,Công ty cổ phần Cấp nước Trà Nóc - Ô Môn,TOW,UPCOM,2019-01-25,,0.0,Dịch vụ,2023,5,23,589042000000.0
4812,2965,15.6,15.6,15.6,15.6,100,0.0,0.0,0,0,0,1560000.0,13.09,-1.5,0,Công ty cổ phần Cấp nước Trà Nóc - Ô Môn,TOW,UPCOM,2019-01-25,,0.0,Dịch vụ,2023,5,24,417134000000.0
4811,2965,17.9,17.9,17.9,17.9,100,0.0,0.0,0,0,0,1790000.0,15.03,2.3,0,Công ty cổ phần Cấp nước Trà Nóc - Ô Môn,TOW,UPCOM,2019-01-25,,0.0,Dịch vụ,2023,5,25,457573000000.0
4810,2965,18.5,18.5,18.5,18.5,600,0.0,0.0,0,0,0,11100000.0,15.53,0.6,0,Công ty cổ phần Cấp nước Trà Nóc - Ô Môn,TOW,UPCOM,2019-01-25,,0.0,Dịch vụ,2023,5,26,867663000000.0
4809,2965,16.5,20.0,21.0,16.5,301,0.0,0.0,0,0,0,5766000.0,16.79,1.5,0,Công ty cổ phần Cấp nước Trà Nóc - Ô Môn,TOW,UPCOM,2019-01-25,,0.0,Dịch vụ,2023,5,29,598726000000.0
4808,2965,17.5,17.5,17.5,17.5,0,0.0,0.0,0,0,0,0.0,16.12,0.0,0,Công ty cổ phần Cấp nước Trà Nóc - Ô Môn,TOW,UPCOM,2019-01-25,,0.0,Dịch vụ,2023,5,30,797759000000.0
4807,2965,17.5,17.5,17.5,17.5,0,0.0,0.0,0,0,0,0.0,16.12,0.0,0,Công ty cổ phần Cấp nước Trà Nóc - Ô Môn,TOW,UPCOM,2019-01-25,,0.0,Dịch vụ,2023,5,31,860345000000.0
4806,2965,17.5,17.5,17.5,17.5,0,0.0,0.0,0,0,0,0.0,16.12,0.0,0,Công ty cổ phần Cấp nước Trà Nóc - Ô Môn,TOW,UPCOM,2019-01-25,,0.0,Dịch vụ,2023,6,1,784243000000.0
4805,2965,17.5,17.5,17.5,17.5,0,0.0,0.0,0,0,0,0.0,16.12,0.0,0,Công ty cổ phần Cấp nước Trà Nóc - Ô Môn,TOW,UPCOM,2019-01-25,,0.0,Dịch vụ,2023,6,2,911677000000.0
4804,2965,19.5,19.5,19.5,19.5,100,0.0,0.0,0,0,0,1950000.0,17.96,2.0,0,Công ty cổ phần Cấp nước Trà Nóc - Ô Môn,TOW,UPCOM,2019-01-25,,0.0,Dịch vụ,2023,6,5,850691000000.0
4803,2965,16.6,16.6,16.6,16.6,100,0.0,0.0,0,0,0,1660000.0,15.29,-2.9,0,Công ty cổ phần Cấp nước Trà Nóc - Ô Môn,TOW,UPCOM,2019-01-25,,0.0,Dịch vụ,2023,6,6,735226000000.0
4802,2965,16.6,16.6,16.6,16.6,0,0.0,0.0,0,0,0,0.0,15.29,0.0,0,Công ty cổ phần Cấp nước Trà Nóc - Ô Môn,TOW,UPCOM,2019-01-25,,0.0,Dịch vụ,2023,6,7,779549000000.0
4801,2965,16.6,16.6,16.6,16.6,0,0.0,0.0,0,0,0,0.0,15.29,0.0,0,Công ty cổ phần Cấp nước Trà Nóc - Ô Môn,TOW,UPCOM,2019-01-25,,0.0,Dịch vụ,2023,6,8,972083000000.0
4800,2965,16.6,16.6,16.6,16.6,0,0.0,0.0,0,0,0,0.0,15.29,0.0,0,Công ty cổ phần Cấp nước Trà Nóc - Ô Môn,TOW,UPCOM,2019-01-25,,0.0,Dịch vụ,2023,6,9,784155000000.0
4799,2965,14.5,14.5,14.5,14.5,100,0.0,0.0,0,0,0,1450000.0,13.36,-2.1,0,Công ty cổ phần Cấp nước Trà Nóc - Ô Môn,TOW,UPCOM,2019-01-25,,0.0,Dịch vụ,2023,6,12,637523000000.0
4798,2965,16.6,16.6,16.6,16.6,100,0.0,0.0,0,0,0,1660000.0,15.29,2.1,0,Công ty cổ phần Cấp nước Trà Nóc - Ô Môn,TOW,UPCOM,2019-01-25,,0.0,Dịch vụ,2023,6,14,763309000000.0
4797,2965,15.5,15.5,15.5,15.5,100,0.0,0.0,0,0,0,1550000.0,14.28,-1.1,0,Công ty cổ phần Cấp nước Trà Nóc - Ô Môn,TOW,UPCOM,2019-01-25,,0.0,Dịch vụ,2023,6,15,619574000000.0
