session_id,stock_id,open_price,close_price,high_price,low_price,volume_detail,ceiling_price,floor_price,buy_volume,sell_volume,net_volume,matched_value,adjust_price,change_percent,outstanding_share,name,code,stock_space,join_date,leave_date,init_price,category,year,month,day_of_month,volume_session
4816,2799,30.6,27.5,30.6,27.5,5900,0.0,0.0,0,0,0,163280000.0,27.5,0.6,0,Công ty Cổ phần Dược phẩm TV.Pharm,TVP,UPCOM,2017-08-17,2023-10-24,0.0,Y tế,2023,5,18,452755000000.0
4815,2799,30.4,30.3,30.4,27.6,7166,0.0,0.0,0,0,0,200227000.0,30.3,2.6,0,Công ty Cổ phần Dược phẩm TV.Pharm,TVP,UPCOM,2017-08-17,2023-10-24,0.0,Y tế,2023,5,19,610612000000.0
4814,2799,24.5,24.6,29.9,24.5,12926,0.0,0.0,0,0,0,322504000.0,24.6,-3.4,0,Công ty Cổ phần Dược phẩm TV.Pharm,TVP,UPCOM,2017-08-17,2023-10-24,0.0,Y tế,2023,5,22,541384000000.0
4813,2799,28.1,24.2,28.1,24.2,1085,0.0,0.0,0,0,0,28128500.0,24.2,-0.7,0,Công ty Cổ phần Dược phẩm TV.Pharm,TVP,UPCOM,2017-08-17,2023-10-24,0.0,Y tế,2023,5,23,589042000000.0
4812,2799,25.0,24.3,25.0,24.3,1600,0.0,0.0,0,0,0,38950000.0,24.3,-1.4,0,Công ty Cổ phần Dược phẩm TV.Pharm,TVP,UPCOM,2017-08-17,2023-10-24,0.0,Y tế,2023,5,24,417134000000.0
4811,2799,27.8,27.8,27.8,27.7,33800,0.0,0.0,0,0,0,939610000.0,27.8,3.5,0,Công ty Cổ phần Dược phẩm TV.Pharm,TVP,UPCOM,2017-08-17,2023-10-24,0.0,Y tế,2023,5,25,457573000000.0
4810,2799,27.8,27.8,27.8,25.5,1200,0.0,0.0,0,0,0,31060000.0,27.8,0.0,0,Công ty Cổ phần Dược phẩm TV.Pharm,TVP,UPCOM,2017-08-17,2023-10-24,0.0,Y tế,2023,5,26,867663000000.0
4809,2799,25.2,25.4,25.4,25.2,200,0.0,0.0,0,0,0,5060000.0,25.4,-0.5,0,Công ty Cổ phần Dược phẩm TV.Pharm,TVP,UPCOM,2017-08-17,2023-10-24,0.0,Y tế,2023,5,29,598726000000.0
4808,2799,25.2,29.0,29.0,25.1,5310,0.0,0.0,0,0,0,146911000.0,29.0,3.7,0,Công ty Cổ phần Dược phẩm TV.Pharm,TVP,UPCOM,2017-08-17,2023-10-24,0.0,Y tế,2023,5,30,797759000000.0
4807,2799,26.0,26.0,26.0,26.0,244,0.0,0.0,0,0,0,6345400.0,26.0,-1.7,0,Công ty Cổ phần Dược phẩm TV.Pharm,TVP,UPCOM,2017-08-17,2023-10-24,0.0,Y tế,2023,5,31,860345000000.0
