session_id,stock_id,open_price,close_price,high_price,low_price,volume_detail,ceiling_price,floor_price,buy_volume,sell_volume,net_volume,matched_value,adjust_price,change_percent,outstanding_share,name,code,stock_space,join_date,leave_date,init_price,category,year,month,day_of_month,volume_session
5275,3360,13.8,13.8,13.8,13.8,0,0.0,0.0,0,0,0,0.0,13.8,0.0,0,Công ty cổ phần Công trình Đô thị Trà Vinh,TVU,UPCOM,2016-11-09,2021-08-04,0.0,,2021,6,23,1681840000000.0
5274,3360,13.8,13.8,13.8,13.8,0,0.0,0.0,0,0,0,0.0,13.8,0.0,0,Công ty cổ phần Công trình Đô thị Trà Vinh,TVU,UPCOM,2016-11-09,2021-08-04,0.0,,2021,6,24,942804000000.0
5273,3360,14.3,12.8,14.3,12.8,700,0.0,0.0,0,0,0,9110000.0,12.8,-1.0,0,Công ty cổ phần Công trình Đô thị Trà Vinh,TVU,UPCOM,2016-11-09,2021-08-04,0.0,,2021,6,25,1258550000000.0
5272,3360,13.0,13.0,13.0,13.0,0,0.0,0.0,0,0,0,0.0,13.0,0.0,0,Công ty cổ phần Công trình Đô thị Trà Vinh,TVU,UPCOM,2016-11-09,2021-08-04,0.0,,2021,6,28,1310920000000.0
5271,3360,13.4,13.4,13.4,13.4,100,0.0,0.0,0,0,0,1340000.0,13.4,0.4,0,Công ty cổ phần Công trình Đô thị Trà Vinh,TVU,UPCOM,2016-11-09,2021-08-04,0.0,,2021,6,29,1361700000000.0
5270,3360,13.8,15.4,15.4,13.8,5100,0.0,0.0,0,0,0,70790000.0,15.4,2.0,0,Công ty cổ phần Công trình Đô thị Trà Vinh,TVU,UPCOM,2016-11-09,2021-08-04,0.0,,2021,6,30,1014700000000.0
5269,3360,15.8,15.8,15.8,15.8,1000,0.0,0.0,0,0,0,15800000.0,15.8,1.9,0,Công ty cổ phần Công trình Đô thị Trà Vinh,TVU,UPCOM,2016-11-09,2021-08-04,0.0,,2021,7,1,1638780000000.0
5268,3360,17.9,14.7,17.9,14.7,900,0.0,0.0,0,0,0,15090000.0,14.7,-1.1,0,Công ty cổ phần Công trình Đô thị Trà Vinh,TVU,UPCOM,2016-11-09,2021-08-04,0.0,,2021,7,2,1485860000000.0
5267,3360,19.3,19.3,19.3,16.0,900,0.0,0.0,0,0,0,16380000.0,19.3,2.5,0,Công ty cổ phần Công trình Đô thị Trà Vinh,TVU,UPCOM,2016-11-09,2021-08-04,0.0,,2021,7,5,1589300000000.0
5266,3360,18.8,18.8,18.8,18.8,100,0.0,0.0,0,0,0,1880000.0,18.8,0.6,0,Công ty cổ phần Công trình Đô thị Trà Vinh,TVU,UPCOM,2016-11-09,2021-08-04,0.0,,2021,7,6,1656880000000.0
5265,3360,18.8,18.8,18.8,18.8,0,0.0,0.0,0,0,0,0.0,18.8,0.0,0,Công ty cổ phần Công trình Đô thị Trà Vinh,TVU,UPCOM,2016-11-09,2021-08-04,0.0,,2021,7,7,1344690000000.0
5264,3360,20.4,20.4,20.4,20.4,100,0.0,0.0,0,0,0,2040000.0,20.4,1.6,0,Công ty cổ phần Công trình Đô thị Trà Vinh,TVU,UPCOM,2016-11-09,2021-08-04,0.0,,2021,7,8,876929000000.0
5263,3360,20.4,20.4,20.4,20.4,0,0.0,0.0,0,0,0,0.0,20.4,0.0,0,Công ty cổ phần Công trình Đô thị Trà Vinh,TVU,UPCOM,2016-11-09,2021-08-04,0.0,,2021,7,9,1498860000000.0
5262,3360,20.4,20.4,20.4,20.4,0,0.0,0.0,0,0,0,0.0,20.4,0.0,0,Công ty cổ phần Công trình Đô thị Trà Vinh,TVU,UPCOM,2016-11-09,2021-08-04,0.0,,2021,7,12,1445900000000.0
5261,3360,20.4,20.4,20.4,20.4,0,0.0,0.0,0,0,0,0.0,20.4,0.0,0,Công ty cổ phần Công trình Đô thị Trà Vinh,TVU,UPCOM,2016-11-09,2021-08-04,0.0,,2021,7,13,790911000000.0
5260,3360,20.4,20.4,20.4,20.4,0,0.0,0.0,0,0,0,0.0,20.4,0.0,0,Công ty cổ phần Công trình Đô thị Trà Vinh,TVU,UPCOM,2016-11-09,2021-08-04,0.0,,2021,7,14,731056000000.0
5259,3360,20.4,20.4,20.4,20.4,0,0.0,0.0,0,0,0,0.0,20.4,0.0,0,Công ty cổ phần Công trình Đô thị Trà Vinh,TVU,UPCOM,2016-11-09,2021-08-04,0.0,,2021,7,15,648347000000.0
5258,3360,20.4,20.4,20.4,20.4,0,0.0,0.0,0,0,0,0.0,20.4,0.0,0,Công ty cổ phần Công trình Đô thị Trà Vinh,TVU,UPCOM,2016-11-09,2021-08-04,0.0,,2021,7,16,924141000000.0
5257,3360,17.4,17.4,17.4,17.4,400,0.0,0.0,0,0,0,6960000.0,17.4,-3.0,0,Công ty cổ phần Công trình Đô thị Trà Vinh,TVU,UPCOM,2016-11-09,2021-08-04,0.0,,2021,7,19,1030590000000.0
5256,3360,17.4,17.4,17.4,17.4,100,0.0,0.0,0,0,0,1480000.0,17.4,0.0,0,Công ty cổ phần Công trình Đô thị Trà Vinh,TVU,UPCOM,2016-11-09,2021-08-04,0.0,,2021,7,20,773414000000.0
5255,3360,14.8,14.8,14.8,14.8,100,0.0,0.0,0,0,0,1480000.0,14.8,-2.6,0,Công ty cổ phần Công trình Đô thị Trà Vinh,TVU,UPCOM,2016-11-09,2021-08-04,0.0,,2021,7,21,669508000000.0
5254,3360,12.8,12.8,12.8,12.6,400,0.0,0.0,0,0,0,5080000.0,12.8,-2.0,0,Công ty cổ phần Công trình Đô thị Trà Vinh,TVU,UPCOM,2016-11-09,2021-08-04,0.0,,2021,7,22,839736000000.0
5253,3360,10.8,10.8,10.8,10.8,4730,0.0,0.0,0,0,0,51198000.0,10.8,-1.9,0,Công ty cổ phần Công trình Đô thị Trà Vinh,TVU,UPCOM,2016-11-09,2021-08-04,0.0,,2021,7,23,850556000000.0
5252,3360,9.5,10.8,10.8,9.5,9000,0.0,0.0,0,0,0,88750000.0,10.8,0.0,0,Công ty cổ phần Công trình Đô thị Trà Vinh,TVU,UPCOM,2016-11-09,2021-08-04,0.0,,2021,7,26,713865000000.0
5251,3360,9.9,11.3,11.3,9.9,3500,0.0,0.0,0,0,0,38200000.0,11.3,1.4,0,Công ty cổ phần Công trình Đô thị Trà Vinh,TVU,UPCOM,2016-11-09,2021-08-04,0.0,,2021,7,27,1158010000000.0
