session_id,stock_id,open_price,close_price,high_price,low_price,volume_detail,ceiling_price,floor_price,buy_volume,sell_volume,net_volume,matched_value,adjust_price,change_percent,outstanding_share,name,code,stock_space,join_date,leave_date,init_price,category,year,month,day_of_month,volume_session
8530,3436,11.9,12.05,12.15,11.75,14900,0.0,0.0,0,0,0,176000000.0,11.36,0.05,0,Công ty Cổ phần Dây và Cáp điện Taya Việt Nam ,TYA,HOSE,2006-02-15,,0.0,Công nghiệp,2023,3,9,9605920000000.0
8529,3436,12.1,12.3,12.3,12.0,21500,0.0,0.0,0,0,0,261000000.0,11.59,0.2,0,Công ty Cổ phần Dây và Cáp điện Taya Việt Nam ,TYA,HOSE,2006-02-15,,0.0,Công nghiệp,2023,3,10,7802560000000.0
8528,3436,12.3,11.9,12.4,11.9,24900,0.0,0.0,0,0,0,304000000.0,11.21,-0.4,0,Công ty Cổ phần Dây và Cáp điện Taya Việt Nam ,TYA,HOSE,2006-02-15,,0.0,Công nghiệp,2023,3,13,8852640000000.0
8527,3436,11.9,12.0,12.0,11.6,47100,0.0,0.0,0,0,0,555000000.0,11.31,0.1,0,Công ty Cổ phần Dây và Cáp điện Taya Việt Nam ,TYA,HOSE,2006-02-15,,0.0,Công nghiệp,2023,3,14,9157830000000.0
8526,3436,12.1,12.0,12.1,11.4,56100,0.0,0.0,0,0,0,648000000.0,11.31,0.0,0,Công ty Cổ phần Dây và Cáp điện Taya Việt Nam ,TYA,HOSE,2006-02-15,,0.0,Công nghiệp,2023,3,15,9044830000000.0
8525,3436,11.95,11.4,11.95,11.4,28200,0.0,0.0,0,0,0,331000000.0,10.74,-0.6,0,Công ty Cổ phần Dây và Cáp điện Taya Việt Nam ,TYA,HOSE,2006-02-15,,0.0,Công nghiệp,2023,3,16,7993400000000.0
8524,3436,11.5,11.5,11.7,11.5,4100,0.0,0.0,0,0,0,47000000.0,10.84,0.1,0,Công ty Cổ phần Dây và Cáp điện Taya Việt Nam ,TYA,HOSE,2006-02-15,,0.0,Công nghiệp,2023,3,17,9056930000000.0
8523,3436,11.6,11.4,11.6,11.4,15100,0.0,0.0,0,0,0,173000000.0,10.74,-0.1,0,Công ty Cổ phần Dây và Cáp điện Taya Việt Nam ,TYA,HOSE,2006-02-15,,0.0,Công nghiệp,2023,3,20,8000550000000.0
8522,3436,11.35,11.35,11.4,11.35,3800,0.0,0.0,0,0,0,43000000.0,10.7,-0.05,0,Công ty Cổ phần Dây và Cáp điện Taya Việt Nam ,TYA,HOSE,2006-02-15,,0.0,Công nghiệp,2023,3,21,6678120000000.0
8521,3436,11.35,11.4,11.45,11.3,15900,0.0,0.0,0,0,0,181000000.0,10.74,0.0,0,Công ty Cổ phần Dây và Cáp điện Taya Việt Nam ,TYA,HOSE,2006-02-15,,0.0,Công nghiệp,2023,3,22,7063540000000.0
8520,3436,11.4,11.4,11.4,11.25,3800,0.0,0.0,0,0,0,42000000.0,10.74,0.0,0,Công ty Cổ phần Dây và Cáp điện Taya Việt Nam ,TYA,HOSE,2006-02-15,,0.0,Công nghiệp,2023,3,23,6539990000000.0
8519,3436,11.1,11.15,11.3,11.0,21700,0.0,0.0,0,0,0,242000000.0,10.51,-0.25,0,Công ty Cổ phần Dây và Cáp điện Taya Việt Nam ,TYA,HOSE,2006-02-15,,0.0,Công nghiệp,2023,3,24,8145960000000.0
8518,3436,11.2,11.15,11.3,11.1,7100,0.0,0.0,0,0,0,79000000.0,10.51,-0.05,0,Công ty Cổ phần Dây và Cáp điện Taya Việt Nam ,TYA,HOSE,2006-02-15,,0.0,Công nghiệp,2023,3,27,8430340000000.0
8517,3436,11.05,11.0,11.3,10.95,14600,0.0,0.0,0,0,0,161000000.0,10.37,-0.2,0,Công ty Cổ phần Dây và Cáp điện Taya Việt Nam ,TYA,HOSE,2006-02-15,,0.0,Công nghiệp,2023,3,28,9714650000000.0
8516,3436,11.15,11.1,11.15,10.9,5400,0.0,0.0,0,0,0,59000000.0,10.46,0.1,0,Công ty Cổ phần Dây và Cáp điện Taya Việt Nam ,TYA,HOSE,2006-02-15,,0.0,Công nghiệp,2023,3,29,7305170000000.0
8515,3436,11.0,11.1,11.1,10.9,18300,0.0,0.0,0,0,0,200000000.0,10.46,0.0,0,Công ty Cổ phần Dây và Cáp điện Taya Việt Nam ,TYA,HOSE,2006-02-15,,0.0,Công nghiệp,2023,3,30,9656120000000.0
8514,3436,11.2,11.6,11.6,11.2,3000,0.0,0.0,0,0,0,33000000.0,10.93,0.5,0,Công ty Cổ phần Dây và Cáp điện Taya Việt Nam ,TYA,HOSE,2006-02-15,,0.0,Công nghiệp,2023,3,31,10498800000000.0
8513,3436,12.2,11.8,12.2,11.5,4000,0.0,0.0,0,0,0,46000000.0,11.12,0.2,0,Công ty Cổ phần Dây và Cáp điện Taya Việt Nam ,TYA,HOSE,2006-02-15,,0.0,Công nghiệp,2023,4,3,12983200000000.0
8512,3436,11.7,11.75,11.75,11.4,4500,0.0,0.0,0,0,0,51000000.0,11.07,-0.05,0,Công ty Cổ phần Dây và Cáp điện Taya Việt Nam ,TYA,HOSE,2006-02-15,,0.0,Công nghiệp,2023,4,4,12386800000000.0
8511,3436,11.75,11.75,11.75,11.75,0,0.0,0.0,0,0,0,0.0,11.07,-0.05,0,Công ty Cổ phần Dây và Cáp điện Taya Việt Nam ,TYA,HOSE,2006-02-15,,0.0,Công nghiệp,2023,4,5,11435900000000.0
8510,3436,11.5,11.5,11.5,11.5,6800,0.0,0.0,0,0,0,78000000.0,10.84,-0.3,0,Công ty Cổ phần Dây và Cáp điện Taya Việt Nam ,TYA,HOSE,2006-02-15,,0.0,Công nghiệp,2023,4,6,14836000000000.0
8509,3436,11.3,11.4,11.5,11.3,65600,0.0,0.0,0,0,0,746000000.0,10.74,-0.1,0,Công ty Cổ phần Dây và Cáp điện Taya Việt Nam ,TYA,HOSE,2006-02-15,,0.0,Công nghiệp,2023,4,7,9555430000000.0
8508,3436,11.45,11.55,11.75,11.45,20100,0.0,0.0,0,0,0,231000000.0,10.88,0.15,0,Công ty Cổ phần Dây và Cáp điện Taya Việt Nam ,TYA,HOSE,2006-02-15,,0.0,Công nghiệp,2023,4,10,13080300000000.0
8507,3436,11.5,11.5,11.5,11.5,700,0.0,0.0,0,0,0,8000000.0,10.84,-0.1,0,Công ty Cổ phần Dây và Cáp điện Taya Việt Nam ,TYA,HOSE,2006-02-15,,0.0,Công nghiệp,2023,4,11,10352300000000.0
8506,3436,11.7,11.5,11.7,11.5,6400,0.0,0.0,0,0,0,73000000.0,10.84,0.0,0,Công ty Cổ phần Dây và Cáp điện Taya Việt Nam ,TYA,HOSE,2006-02-15,,0.0,Công nghiệp,2023,4,12,11237900000000.0
8505,3436,11.75,11.75,11.75,11.75,100,0.0,0.0,0,0,0,1000000.0,11.07,0.25,0,Công ty Cổ phần Dây và Cáp điện Taya Việt Nam ,TYA,HOSE,2006-02-15,,0.0,Công nghiệp,2023,4,13,10048100000000.0
8504,3436,11.9,11.9,11.9,11.9,100,0.0,0.0,0,0,0,1000000.0,11.21,0.1,0,Công ty Cổ phần Dây và Cáp điện Taya Việt Nam ,TYA,HOSE,2006-02-15,,0.0,Công nghiệp,2023,4,14,11983800000000.0
8503,3436,11.1,11.15,11.15,11.1,400,0.0,0.0,0,0,0,4000000.0,10.51,-0.75,0,Công ty Cổ phần Dây và Cáp điện Taya Việt Nam ,TYA,HOSE,2006-02-15,,0.0,Công nghiệp,2023,4,17,6714600000000.0
8502,3436,11.2,11.3,11.3,11.15,11400,0.0,0.0,0,0,0,128000000.0,10.65,0.1,0,Công ty Cổ phần Dây và Cáp điện Taya Việt Nam ,TYA,HOSE,2006-02-15,,0.0,Công nghiệp,2023,4,18,8462260000000.0
8501,3436,11.35,11.1,11.35,11.1,10600,0.0,0.0,0,0,0,117000000.0,10.46,-0.2,0,Công ty Cổ phần Dây và Cáp điện Taya Việt Nam ,TYA,HOSE,2006-02-15,,0.0,Công nghiệp,2023,4,19,8609420000000.0
8500,3436,11.3,11.15,11.3,11.15,2300,0.0,0.0,0,0,0,25000000.0,10.51,0.05,0,Công ty Cổ phần Dây và Cáp điện Taya Việt Nam ,TYA,HOSE,2006-02-15,,0.0,Công nghiệp,2023,4,20,5636530000000.0
8499,3436,11.25,11.15,11.25,11.15,1900,0.0,0.0,0,0,0,21000000.0,10.51,-0.05,0,Công ty Cổ phần Dây và Cáp điện Taya Việt Nam ,TYA,HOSE,2006-02-15,,0.0,Công nghiệp,2023,4,21,8838180000000.0
8498,3436,11.15,11.15,11.3,11.15,10700,0.0,0.0,0,0,0,119000000.0,10.51,-0.05,0,Công ty Cổ phần Dây và Cáp điện Taya Việt Nam ,TYA,HOSE,2006-02-15,,0.0,Công nghiệp,2023,4,24,7199740000000.0
8497,3436,11.0,11.0,11.0,11.0,400,0.0,0.0,0,0,0,4000000.0,10.37,-0.2,0,Công ty Cổ phần Dây và Cáp điện Taya Việt Nam ,TYA,HOSE,2006-02-15,,0.0,Công nghiệp,2023,4,25,8456240000000.0
8496,3436,11.25,11.0,11.25,11.0,9400,0.0,0.0,0,0,0,103000000.0,10.37,0.0,0,Công ty Cổ phần Dây và Cáp điện Taya Việt Nam ,TYA,HOSE,2006-02-15,,0.0,Công nghiệp,2023,4,26,7520090000000.0
8495,3436,11.1,11.0,11.3,11.0,2500,0.0,0.0,0,0,0,27000000.0,10.37,0.0,0,Công ty Cổ phần Dây và Cáp điện Taya Việt Nam ,TYA,HOSE,2006-02-15,,0.0,Công nghiệp,2023,4,27,7600150000000.0
8494,3436,11.3,11.3,11.3,11.3,100,0.0,0.0,0,0,0,1000000.0,10.65,0.3,0,Công ty Cổ phần Dây và Cáp điện Taya Việt Nam ,TYA,HOSE,2006-02-15,,0.0,Công nghiệp,2023,4,28,9308330000000.0
8493,3436,11.3,11.05,11.3,11.05,10400,0.0,0.0,0,0,0,117000000.0,10.41,-0.25,0,Công ty Cổ phần Dây và Cáp điện Taya Việt Nam ,TYA,HOSE,2006-02-15,,0.0,Công nghiệp,2023,5,4,9259100000000.0
8492,3436,11.1,11.1,11.1,11.1,700,0.0,0.0,0,0,0,7000000.0,10.46,0.05,0,Công ty Cổ phần Dây và Cáp điện Taya Việt Nam ,TYA,HOSE,2006-02-15,,0.0,Công nghiệp,2023,5,5,6891880000000.0
8491,3436,11.1,11.1,11.1,11.0,17100,0.0,0.0,0,0,0,189000000.0,10.46,0.0,0,Công ty Cổ phần Dây và Cáp điện Taya Việt Nam ,TYA,HOSE,2006-02-15,,0.0,Công nghiệp,2023,5,8,9352890000000.0
8490,3436,10.85,11.2,11.2,10.85,10400,0.0,0.0,0,0,0,114000000.0,10.56,0.1,0,Công ty Cổ phần Dây và Cáp điện Taya Việt Nam ,TYA,HOSE,2006-02-15,,0.0,Công nghiệp,2023,5,9,8040740000000.0
8489,3436,11.25,11.25,11.25,11.2,2500,0.0,0.0,0,0,0,28000000.0,10.6,0.05,0,Công ty Cổ phần Dây và Cáp điện Taya Việt Nam ,TYA,HOSE,2006-02-15,,0.0,Công nghiệp,2023,5,10,9830030000000.0
8488,3436,11.6,11.35,11.6,11.05,9800,0.0,0.0,0,0,0,110000000.0,10.7,0.05,0,Công ty Cổ phần Dây và Cáp điện Taya Việt Nam ,TYA,HOSE,2006-02-15,,0.0,Công nghiệp,2023,5,11,10795100000000.0
8487,3436,11.35,11.35,11.35,11.35,100,0.0,0.0,0,0,0,1000000.0,10.7,-0.05,0,Công ty Cổ phần Dây và Cáp điện Taya Việt Nam ,TYA,HOSE,2006-02-15,,0.0,Công nghiệp,2023,5,12,11117600000000.0
8486,3436,11.1,11.1,11.1,11.1,100,0.0,0.0,0,0,0,1000000.0,10.46,-0.25,0,Công ty Cổ phần Dây và Cáp điện Taya Việt Nam ,TYA,HOSE,2006-02-15,,0.0,Công nghiệp,2023,5,15,12607000000000.0
8485,3436,11.35,11.1,11.35,11.1,3600,0.0,0.0,0,0,0,40000000.0,10.46,0.0,0,Công ty Cổ phần Dây và Cáp điện Taya Việt Nam ,TYA,HOSE,2006-02-15,,0.0,Công nghiệp,2023,5,16,9638180000000.0
8484,3436,11.2,11.3,11.3,11.1,5100,0.0,0.0,0,0,0,57000000.0,10.65,0.2,0,Công ty Cổ phần Dây và Cáp điện Taya Việt Nam ,TYA,HOSE,2006-02-15,,0.0,Công nghiệp,2023,5,17,11644500000000.0
8483,3436,11.3,11.3,11.3,11.3,100,0.0,0.0,0,0,0,1000000.0,10.65,0.0,0,Công ty Cổ phần Dây và Cáp điện Taya Việt Nam ,TYA,HOSE,2006-02-15,,0.0,Công nghiệp,2023,5,18,10252200000000.0
8482,3436,11.3,11.1,11.3,11.1,8500,0.0,0.0,0,0,0,95000000.0,10.46,-0.2,0,Công ty Cổ phần Dây và Cáp điện Taya Việt Nam ,TYA,HOSE,2006-02-15,,0.0,Công nghiệp,2023,5,19,10585100000000.0
8481,3436,11.5,11.2,11.5,11.2,600,0.0,0.0,0,0,0,6000000.0,10.56,0.1,0,Công ty Cổ phần Dây và Cáp điện Taya Việt Nam ,TYA,HOSE,2006-02-15,,0.0,Công nghiệp,2023,5,22,11015600000000.0
8480,3436,11.4,11.0,11.4,11.0,7000,0.0,0.0,0,0,0,77000000.0,10.37,-0.2,0,Công ty Cổ phần Dây và Cáp điện Taya Việt Nam ,TYA,HOSE,2006-02-15,,0.0,Công nghiệp,2023,5,23,11892800000000.0
8479,3436,11.05,11.1,11.1,11.05,200,0.0,0.0,0,0,0,2000000.0,10.46,0.1,0,Công ty Cổ phần Dây và Cáp điện Taya Việt Nam ,TYA,HOSE,2006-02-15,,0.0,Công nghiệp,2023,5,24,11401200000000.0
8478,3436,11.1,11.1,11.1,11.1,0,0.0,0.0,0,0,0,0.0,10.46,0.0,0,Công ty Cổ phần Dây và Cáp điện Taya Việt Nam ,TYA,HOSE,2006-02-15,,0.0,Công nghiệp,2023,5,25,10567700000000.0
8477,3436,10.7,11.1,11.35,10.7,10100,0.0,0.0,0,0,0,112000000.0,10.46,0.0,0,Công ty Cổ phần Dây và Cáp điện Taya Việt Nam ,TYA,HOSE,2006-02-15,,0.0,Công nghiệp,2023,5,26,9431780000000.0
8476,3436,11.1,11.1,11.2,11.0,22000,0.0,0.0,0,0,0,244000000.0,10.46,0.0,0,Công ty Cổ phần Dây và Cáp điện Taya Việt Nam ,TYA,HOSE,2006-02-15,,0.0,Công nghiệp,2023,5,29,11644700000000.0
8475,3436,11.1,11.4,11.45,11.1,21700,0.0,0.0,0,0,0,244000000.0,10.74,0.3,0,Công ty Cổ phần Dây và Cáp điện Taya Việt Nam ,TYA,HOSE,2006-02-15,,0.0,Công nghiệp,2023,5,30,13600100000000.0
8474,3436,11.4,11.35,11.55,11.2,16900,0.0,0.0,0,0,0,191000000.0,10.7,-0.05,0,Công ty Cổ phần Dây và Cáp điện Taya Việt Nam ,TYA,HOSE,2006-02-15,,0.0,Công nghiệp,2023,5,31,14101800000000.0
8473,3436,11.3,11.1,11.3,10.9,38000,0.0,0.0,0,0,0,419000000.0,10.46,-0.25,0,Công ty Cổ phần Dây và Cáp điện Taya Việt Nam ,TYA,HOSE,2006-02-15,,0.0,Công nghiệp,2023,6,1,12900900000000.0
8472,3436,10.95,11.15,11.5,10.95,28400,0.0,0.0,0,0,0,313000000.0,10.51,0.05,0,Công ty Cổ phần Dây và Cáp điện Taya Việt Nam ,TYA,HOSE,2006-02-15,,0.0,Công nghiệp,2023,6,2,16880800000000.0
8471,3436,11.4,11.35,11.45,11.3,8800,0.0,0.0,0,0,0,100000000.0,10.7,0.2,0,Công ty Cổ phần Dây và Cáp điện Taya Việt Nam ,TYA,HOSE,2006-02-15,,0.0,Công nghiệp,2023,6,5,16315900000000.0
8470,3436,11.35,11.2,11.35,11.15,14700,0.0,0.0,0,0,0,164000000.0,10.56,-0.15,0,Công ty Cổ phần Dây và Cáp điện Taya Việt Nam ,TYA,HOSE,2006-02-15,,0.0,Công nghiệp,2023,6,6,14344800000000.0
