session_id,stock_id,open_price,close_price,high_price,low_price,volume_detail,ceiling_price,floor_price,buy_volume,sell_volume,net_volume,matched_value,adjust_price,change_percent,outstanding_share,name,code,stock_space,join_date,leave_date,init_price,category,year,month,day_of_month,volume_session
8530,3848,55.5,56.5,56.7,55.5,308000,0.0,0.0,0,0,0,17289000000.0,45.67,1.0,0,Công ty Cổ phần Vĩnh Hoàn,VHC,HOSE,2007-12-24,,0.0,Nông nghiệp,2023,3,9,9605920000000.0
8529,3848,55.6,56.9,57.4,55.6,334800,0.0,0.0,0,0,0,18994000000.0,45.99,0.4,0,Công ty Cổ phần Vĩnh Hoàn,VHC,HOSE,2007-12-24,,0.0,Nông nghiệp,2023,3,10,7802560000000.0
8528,3848,56.3,56.0,56.5,55.9,316600,0.0,0.0,0,0,0,17766000000.0,45.26,-0.9,0,Công ty Cổ phần Vĩnh Hoàn,VHC,HOSE,2007-12-24,,0.0,Nông nghiệp,2023,3,13,8852640000000.0
8527,3848,56.2,55.0,56.3,54.0,415800,0.0,0.0,0,0,0,22884000000.0,44.46,-1.0,0,Công ty Cổ phần Vĩnh Hoàn,VHC,HOSE,2007-12-24,,0.0,Nông nghiệp,2023,3,14,9157830000000.0
8526,3848,55.5,56.3,56.5,55.0,446700,0.0,0.0,0,0,0,24798000000.0,45.51,1.3,0,Công ty Cổ phần Vĩnh Hoàn,VHC,HOSE,2007-12-24,,0.0,Nông nghiệp,2023,3,15,9044830000000.0
8525,3848,56.1,55.8,56.2,55.4,202700,0.0,0.0,0,0,0,11284000000.0,45.1,-0.5,0,Công ty Cổ phần Vĩnh Hoàn,VHC,HOSE,2007-12-24,,0.0,Nông nghiệp,2023,3,16,7993400000000.0
8524,3848,56.1,58.0,58.0,55.5,1064700,0.0,0.0,0,0,0,61410000000.0,46.88,2.2,0,Công ty Cổ phần Vĩnh Hoàn,VHC,HOSE,2007-12-24,,0.0,Nông nghiệp,2023,3,17,9056930000000.0
8523,3848,57.3,56.0,57.3,56.0,316300,0.0,0.0,0,0,0,17904000000.0,45.26,-2.0,0,Công ty Cổ phần Vĩnh Hoàn,VHC,HOSE,2007-12-24,,0.0,Nông nghiệp,2023,3,20,8000550000000.0
8522,3848,56.6,56.1,56.6,55.0,195000,0.0,0.0,0,0,0,10889000000.0,45.35,0.1,0,Công ty Cổ phần Vĩnh Hoàn,VHC,HOSE,2007-12-24,,0.0,Nông nghiệp,2023,3,21,6678120000000.0
8521,3848,56.1,55.8,56.2,55.8,94400,0.0,0.0,0,0,0,5283000000.0,45.1,-0.3,0,Công ty Cổ phần Vĩnh Hoàn,VHC,HOSE,2007-12-24,,0.0,Nông nghiệp,2023,3,22,7063540000000.0
8520,3848,55.2,55.7,55.7,54.9,251100,0.0,0.0,0,0,0,13842000000.0,45.02,-0.1,0,Công ty Cổ phần Vĩnh Hoàn,VHC,HOSE,2007-12-24,,0.0,Nông nghiệp,2023,3,23,6539990000000.0
8519,3848,55.8,55.0,55.8,55.0,195400,0.0,0.0,0,0,0,10806000000.0,44.46,-0.7,0,Công ty Cổ phần Vĩnh Hoàn,VHC,HOSE,2007-12-24,,0.0,Nông nghiệp,2023,3,24,8145960000000.0
8518,3848,55.3,54.2,55.6,54.2,275600,0.0,0.0,0,0,0,15062000000.0,43.81,-0.8,0,Công ty Cổ phần Vĩnh Hoàn,VHC,HOSE,2007-12-24,,0.0,Nông nghiệp,2023,3,27,8430340000000.0
