session_id,stock_id,open_price,close_price,high_price,low_price,volume_detail,ceiling_price,floor_price,buy_volume,sell_volume,net_volume,matched_value,adjust_price,change_percent,outstanding_share,name,code,stock_space,join_date,leave_date,init_price,category,year,month,day_of_month,volume_session
8530,3503,100.4,101.8,103.0,100.0,438400,0.0,0.0,0,0,0,44306000000.0,101.8,3.5,0,Công ty cổ phần Hàng không VIETJET,VJC,HOSE,2017-02-28,,0.0,Công nghiệp,2023,3,9,9605920000000.0
8529,3503,102.8,100.6,102.8,98.6,304900,0.0,0.0,0,0,0,30554000000.0,100.6,-1.2,0,Công ty cổ phần Hàng không VIETJET,VJC,HOSE,2017-02-28,,0.0,Công nghiệp,2023,3,10,7802560000000.0
8528,3503,101.0,100.7,102.2,99.1,299300,0.0,0.0,0,0,0,30148000000.0,100.7,0.1,0,Công ty cổ phần Hàng không VIETJET,VJC,HOSE,2017-02-28,,0.0,Công nghiệp,2023,3,13,8852640000000.0
8527,3503,99.8,101.7,102.5,99.8,219900,0.0,0.0,0,0,0,22343000000.0,101.7,1.0,0,Công ty cổ phần Hàng không VIETJET,VJC,HOSE,2017-02-28,,0.0,Công nghiệp,2023,3,14,9157830000000.0
8526,3503,102.8,104.9,104.9,102.6,260600,0.0,0.0,0,0,0,27028000000.0,104.9,3.2,0,Công ty cổ phần Hàng không VIETJET,VJC,HOSE,2017-02-28,,0.0,Công nghiệp,2023,3,15,9044830000000.0
8525,3503,104.9,102.0,105.6,99.6,320600,0.0,0.0,0,0,0,32985000000.0,102.0,-2.9,0,Công ty cổ phần Hàng không VIETJET,VJC,HOSE,2017-02-28,,0.0,Công nghiệp,2023,3,16,7993400000000.0
8524,3503,103.9,108.9,108.9,102.0,830700,0.0,0.0,0,0,0,89693000000.0,108.9,6.9,0,Công ty cổ phần Hàng không VIETJET,VJC,HOSE,2017-02-28,,0.0,Công nghiệp,2023,3,17,9056930000000.0
8523,3503,105.2,105.6,107.8,103.1,281500,0.0,0.0,0,0,0,29546000000.0,105.6,-3.3,0,Công ty cổ phần Hàng không VIETJET,VJC,HOSE,2017-02-28,,0.0,Công nghiệp,2023,3,20,8000550000000.0
8522,3503,104.5,103.8,112.9,101.6,418000,0.0,0.0,0,0,0,43650000000.0,103.8,-1.8,0,Công ty cổ phần Hàng không VIETJET,VJC,HOSE,2017-02-28,,0.0,Công nghiệp,2023,3,21,6678120000000.0
8521,3503,104.0,104.8,105.3,102.1,309500,0.0,0.0,0,0,0,32171000000.0,104.8,1.0,0,Công ty cổ phần Hàng không VIETJET,VJC,HOSE,2017-02-28,,0.0,Công nghiệp,2023,3,22,7063540000000.0
8520,3503,104.5,105.7,106.0,102.6,263400,0.0,0.0,0,0,0,27571000000.0,105.7,0.9,0,Công ty cổ phần Hàng không VIETJET,VJC,HOSE,2017-02-28,,0.0,Công nghiệp,2023,3,23,6539990000000.0
8519,3503,105.9,106.2,106.2,104.6,283800,0.0,0.0,0,0,0,30063000000.0,106.2,0.5,0,Công ty cổ phần Hàng không VIETJET,VJC,HOSE,2017-02-28,,0.0,Công nghiệp,2023,3,24,8145960000000.0
