session_id,stock_id,open_price,close_price,high_price,low_price,volume_detail,ceiling_price,floor_price,buy_volume,sell_volume,net_volume,matched_value,adjust_price,change_percent,outstanding_share,name,code,stock_space,join_date,leave_date,init_price,category,year,month,day_of_month,volume_session
8530,3770,18.15,18.2,18.3,18.0,15264000,0.0,0.0,0,0,0,276989000000.0,16.47,0.0,0,Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng,VPB,HOSE,2017-08-17,,0.0,Tài chính,2023,3,9,9605920000000.0
8529,3770,17.9,18.3,18.3,17.9,14754800,0.0,0.0,0,0,0,268074000000.0,16.56,0.1,0,Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng,VPB,HOSE,2017-08-17,,0.0,Tài chính,2023,3,10,7802560000000.0
8528,3770,18.8,19.4,19.4,18.6,41362700,0.0,0.0,0,0,0,788750000000.0,17.56,1.1,0,Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng,VPB,HOSE,2017-08-17,,0.0,Tài chính,2023,3,13,8852640000000.0
8527,3770,19.6,19.4,19.6,19.1,22988900,0.0,0.0,0,0,0,444573000000.0,17.56,0.0,0,Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng,VPB,HOSE,2017-08-17,,0.0,Tài chính,2023,3,14,9157830000000.0
8526,3770,19.8,19.8,19.85,19.55,22320800,0.0,0.0,0,0,0,440286000000.0,17.92,0.4,0,Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng,VPB,HOSE,2017-08-17,,0.0,Tài chính,2023,3,15,9044830000000.0
8525,3770,19.5,19.45,19.65,19.15,15492200,0.0,0.0,0,0,0,300108000000.0,17.6,-0.35,0,Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng,VPB,HOSE,2017-08-17,,0.0,Tài chính,2023,3,16,7993400000000.0
8524,3770,19.6,19.7,19.75,19.35,15548900,0.0,0.0,0,0,0,304258000000.0,17.83,0.2,0,Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng,VPB,HOSE,2017-08-17,,0.0,Tài chính,2023,3,17,9056930000000.0
8523,3770,19.55,19.7,19.7,19.3,18939800,0.0,0.0,0,0,0,370140000000.0,17.83,0.0,0,Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng,VPB,HOSE,2017-08-17,,0.0,Tài chính,2023,3,20,8000550000000.0
8522,3770,19.7,20.35,20.35,19.5,29194300,0.0,0.0,0,0,0,581916000000.0,18.42,0.65,0,Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng,VPB,HOSE,2017-08-17,,0.0,Tài chính,2023,3,21,6678120000000.0
8521,3770,20.5,21.0,21.2,20.45,42033400,0.0,0.0,0,0,0,880371000000.0,19.01,0.6,0,Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng,VPB,HOSE,2017-08-17,,0.0,Tài chính,2023,3,22,7063540000000.0
