session_id,stock_id,open_price,close_price,high_price,low_price,volume_detail,ceiling_price,floor_price,buy_volume,sell_volume,net_volume,matched_value,adjust_price,change_percent,outstanding_share,name,code,stock_space,join_date,leave_date,init_price,category,year,month,day_of_month,volume_session
8530,3629,24.9,24.3,24.9,24.2,8600,0.0,0.0,0,0,0,212000000.0,22.13,-0.2,0,Công ty Cổ phần Phát triển Điện Lực Việt Nam,VPD,HOSE,2018-01-22,,0.0,Năng lượng,2023,3,9,9605920000000.0
8529,3629,24.2,24.6,24.8,24.2,2000,0.0,0.0,0,0,0,48000000.0,22.41,0.3,0,Công ty Cổ phần Phát triển Điện Lực Việt Nam,VPD,HOSE,2018-01-22,,0.0,Năng lượng,2023,3,10,7802560000000.0
8528,3629,24.0,25.0,25.2,24.0,83600,0.0,0.0,0,0,0,2086000000.0,22.77,0.4,0,Công ty Cổ phần Phát triển Điện Lực Việt Nam,VPD,HOSE,2018-01-22,,0.0,Năng lượng,2023,3,13,8852640000000.0
8527,3629,25.0,25.0,25.0,25.0,400,0.0,0.0,0,0,0,10000000.0,22.77,0.0,0,Công ty Cổ phần Phát triển Điện Lực Việt Nam,VPD,HOSE,2018-01-22,,0.0,Năng lượng,2023,3,14,9157830000000.0
8526,3629,25.0,25.2,25.2,25.0,33700,0.0,0.0,0,0,0,844000000.0,22.95,0.2,0,Công ty Cổ phần Phát triển Điện Lực Việt Nam,VPD,HOSE,2018-01-22,,0.0,Năng lượng,2023,3,15,9044830000000.0
8525,3629,25.0,26.8,26.8,25.0,87900,0.0,0.0,0,0,0,2269000000.0,24.41,1.6,0,Công ty Cổ phần Phát triển Điện Lực Việt Nam,VPD,HOSE,2018-01-22,,0.0,Năng lượng,2023,3,16,7993400000000.0
8524,3629,26.8,28.0,28.0,26.2,71500,0.0,0.0,0,0,0,1957000000.0,25.51,1.2,0,Công ty Cổ phần Phát triển Điện Lực Việt Nam,VPD,HOSE,2018-01-22,,0.0,Năng lượng,2023,3,17,9056930000000.0
8523,3629,27.25,28.7,29.0,27.25,146300,0.0,0.0,0,0,0,4131000000.0,26.14,0.7,0,Công ty Cổ phần Phát triển Điện Lực Việt Nam,VPD,HOSE,2018-01-22,,0.0,Năng lượng,2023,3,20,8000550000000.0
8522,3629,27.5,26.7,28.6,26.7,39300,0.0,0.0,0,0,0,1060000000.0,24.32,-2.0,0,Công ty Cổ phần Phát triển Điện Lực Việt Nam,VPD,HOSE,2018-01-22,,0.0,Năng lượng,2023,3,21,6678120000000.0
8521,3629,26.8,26.45,26.8,24.85,37500,0.0,0.0,0,0,0,959000000.0,24.09,-0.25,0,Công ty Cổ phần Phát triển Điện Lực Việt Nam,VPD,HOSE,2018-01-22,,0.0,Năng lượng,2023,3,22,7063540000000.0
8520,3629,26.2,25.6,26.6,25.0,63600,0.0,0.0,0,0,0,1667000000.0,23.32,-0.9,0,Công ty Cổ phần Phát triển Điện Lực Việt Nam,VPD,HOSE,2018-01-22,,0.0,Năng lượng,2023,3,23,6539990000000.0
8519,3629,25.75,25.2,25.75,24.85,14000,0.0,0.0,0,0,0,353000000.0,22.95,-0.4,0,Công ty Cổ phần Phát triển Điện Lực Việt Nam,VPD,HOSE,2018-01-22,,0.0,Năng lượng,2023,3,24,8145960000000.0
8518,3629,25.2,25.95,26.0,25.2,42100,0.0,0.0,0,0,0,1085000000.0,23.64,0.75,0,Công ty Cổ phần Phát triển Điện Lực Việt Nam,VPD,HOSE,2018-01-22,,0.0,Năng lượng,2023,3,27,8430340000000.0
8517,3629,27.4,26.6,27.4,25.95,26700,0.0,0.0,0,0,0,709000000.0,24.23,0.6,0,Công ty Cổ phần Phát triển Điện Lực Việt Nam,VPD,HOSE,2018-01-22,,0.0,Năng lượng,2023,3,28,9714650000000.0
8516,3629,26.6,27.0,27.0,25.3,2500,0.0,0.0,0,0,0,65000000.0,24.59,0.4,0,Công ty Cổ phần Phát triển Điện Lực Việt Nam,VPD,HOSE,2018-01-22,,0.0,Năng lượng,2023,3,29,7305170000000.0
8515,3629,26.0,26.1,26.1,26.0,1600,0.0,0.0,0,0,0,41000000.0,23.77,-0.9,0,Công ty Cổ phần Phát triển Điện Lực Việt Nam,VPD,HOSE,2018-01-22,,0.0,Năng lượng,2023,3,30,9656120000000.0
8514,3629,25.7,26.6,26.95,25.7,29400,0.0,0.0,0,0,0,771000000.0,24.23,0.5,0,Công ty Cổ phần Phát triển Điện Lực Việt Nam,VPD,HOSE,2018-01-22,,0.0,Năng lượng,2023,3,31,10498800000000.0
8513,3629,26.6,27.0,27.65,25.7,67600,0.0,0.0,0,0,0,1807000000.0,24.59,0.4,0,Công ty Cổ phần Phát triển Điện Lực Việt Nam,VPD,HOSE,2018-01-22,,0.0,Năng lượng,2023,4,3,12983200000000.0
8512,3629,26.5,28.1,28.2,26.5,91800,0.0,0.0,0,0,0,2544000000.0,25.6,1.1,0,Công ty Cổ phần Phát triển Điện Lực Việt Nam,VPD,HOSE,2018-01-22,,0.0,Năng lượng,2023,4,4,12386800000000.0
8511,3629,28.1,27.9,28.1,26.75,11300,0.0,0.0,0,0,0,309000000.0,25.41,-0.2,0,Công ty Cổ phần Phát triển Điện Lực Việt Nam,VPD,HOSE,2018-01-22,,0.0,Năng lượng,2023,4,5,11435900000000.0
