session_id,stock_id,open_price,close_price,high_price,low_price,volume_detail,ceiling_price,floor_price,buy_volume,sell_volume,net_volume,matched_value,adjust_price,change_percent,outstanding_share,name,code,stock_space,join_date,leave_date,init_price,category,year,month,day_of_month,volume_session
8530,3838,12.5,12.6,12.65,12.3,1361900,0.0,0.0,0,0,0,17029000000.0,11.4,0.1,0,Công ty cổ phần Đầu tư Thương mại Xuất nhập khẩu Việt Phát,VPG,HOSE,2018-01-18,,0.0,Nguyên vật liệu,2023,3,9,9605920000000.0
8529,3838,12.35,12.6,12.6,12.3,1174400,0.0,0.0,0,0,0,14610000000.0,11.4,0.0,0,Công ty cổ phần Đầu tư Thương mại Xuất nhập khẩu Việt Phát,VPG,HOSE,2018-01-18,,0.0,Nguyên vật liệu,2023,3,10,7802560000000.0
8528,3838,12.4,12.5,12.5,12.3,780500,0.0,0.0,0,0,0,9677000000.0,11.3,-0.1,0,Công ty cổ phần Đầu tư Thương mại Xuất nhập khẩu Việt Phát,VPG,HOSE,2018-01-18,,0.0,Nguyên vật liệu,2023,3,13,8852640000000.0
8527,3838,12.5,12.15,12.6,11.9,1416700,0.0,0.0,0,0,0,17231000000.0,10.99,-0.35,0,Công ty cổ phần Đầu tư Thương mại Xuất nhập khẩu Việt Phát,VPG,HOSE,2018-01-18,,0.0,Nguyên vật liệu,2023,3,14,9157830000000.0
8526,3838,12.5,12.9,12.9,12.15,2241100,0.0,0.0,0,0,0,28042000000.0,11.67,0.7,0,Công ty cổ phần Đầu tư Thương mại Xuất nhập khẩu Việt Phát,VPG,HOSE,2018-01-18,,0.0,Nguyên vật liệu,2023,3,15,9044830000000.0
8525,3838,12.7,12.45,12.8,12.15,1544200,0.0,0.0,0,0,0,19236000000.0,11.26,-0.45,0,Công ty cổ phần Đầu tư Thương mại Xuất nhập khẩu Việt Phát,VPG,HOSE,2018-01-18,,0.0,Nguyên vật liệu,2023,3,16,7993400000000.0
8524,3838,12.5,12.5,12.6,12.15,601900,0.0,0.0,0,0,0,7448000000.0,11.3,0.0,0,Công ty cổ phần Đầu tư Thương mại Xuất nhập khẩu Việt Phát,VPG,HOSE,2018-01-18,,0.0,Nguyên vật liệu,2023,3,17,9056930000000.0
8523,3838,12.45,11.95,12.45,11.95,1136600,0.0,0.0,0,0,0,13741000000.0,10.81,-0.55,0,Công ty cổ phần Đầu tư Thương mại Xuất nhập khẩu Việt Phát,VPG,HOSE,2018-01-18,,0.0,Nguyên vật liệu,2023,3,20,8000550000000.0
8522,3838,12.0,12.15,12.15,11.8,847900,0.0,0.0,0,0,0,10141000000.0,10.99,0.15,0,Công ty cổ phần Đầu tư Thương mại Xuất nhập khẩu Việt Phát,VPG,HOSE,2018-01-18,,0.0,Nguyên vật liệu,2023,3,21,6678120000000.0
8521,3838,12.2,12.0,12.3,11.95,525200,0.0,0.0,0,0,0,6328000000.0,10.85,-0.2,0,Công ty cổ phần Đầu tư Thương mại Xuất nhập khẩu Việt Phát,VPG,HOSE,2018-01-18,,0.0,Nguyên vật liệu,2023,3,22,7063540000000.0
