session_id,stock_id,open_price,close_price,high_price,low_price,volume_detail,ceiling_price,floor_price,buy_volume,sell_volume,net_volume,matched_value,adjust_price,change_percent,outstanding_share,name,code,stock_space,join_date,leave_date,init_price,category,year,month,day_of_month,volume_session
4816,2664,21.0,21.0,21.0,21.0,0,0.0,0.0,0,0,0,0.0,20.46,0.0,0,Công ty cổ phần Việt Nam Kỹ Nghệ Súc Sản,VSN,UPCOM,2016-10-21,,0.0,Hàng tiêu dùng,2023,5,18,452755000000.0
4815,2664,21.0,24.0,24.0,21.0,600,0.0,0.0,0,0,0,12900000.0,23.39,3.0,0,Công ty cổ phần Việt Nam Kỹ Nghệ Súc Sản,VSN,UPCOM,2016-10-21,,0.0,Hàng tiêu dùng,2023,5,19,610612000000.0
4814,2664,21.6,21.6,21.6,21.5,700,0.0,0.0,0,0,0,15100000.0,21.05,0.1,0,Công ty cổ phần Việt Nam Kỹ Nghệ Súc Sản,VSN,UPCOM,2016-10-21,,0.0,Hàng tiêu dùng,2023,5,22,541384000000.0
4813,2664,21.6,21.6,21.6,21.6,0,0.0,0.0,0,0,0,0.0,21.05,0.0,0,Công ty cổ phần Việt Nam Kỹ Nghệ Súc Sản,VSN,UPCOM,2016-10-21,,0.0,Hàng tiêu dùng,2023,5,23,589042000000.0
4812,2664,21.6,21.6,21.6,21.6,0,0.0,0.0,0,0,0,0.0,21.05,0.0,0,Công ty cổ phần Việt Nam Kỹ Nghệ Súc Sản,VSN,UPCOM,2016-10-21,,0.0,Hàng tiêu dùng,2023,5,24,417134000000.0
4811,2664,21.6,21.6,21.6,21.6,0,0.0,0.0,0,0,0,0.0,21.05,0.0,0,Công ty cổ phần Việt Nam Kỹ Nghệ Súc Sản,VSN,UPCOM,2016-10-21,,0.0,Hàng tiêu dùng,2023,5,25,457573000000.0
4810,2664,21.6,21.6,21.6,21.6,0,0.0,0.0,0,0,0,0.0,21.05,0.0,0,Công ty cổ phần Việt Nam Kỹ Nghệ Súc Sản,VSN,UPCOM,2016-10-21,,0.0,Hàng tiêu dùng,2023,5,26,867663000000.0
4809,2664,21.6,21.6,21.6,21.6,0,0.0,0.0,0,0,0,0.0,21.05,0.0,0,Công ty cổ phần Việt Nam Kỹ Nghệ Súc Sản,VSN,UPCOM,2016-10-21,,0.0,Hàng tiêu dùng,2023,5,29,598726000000.0
4808,2664,21.6,21.6,21.6,21.6,200,0.0,0.0,0,0,0,4320000.0,21.05,0.0,0,Công ty cổ phần Việt Nam Kỹ Nghệ Súc Sản,VSN,UPCOM,2016-10-21,,0.0,Hàng tiêu dùng,2023,5,30,797759000000.0
4807,2664,22.0,22.0,22.0,22.0,100,0.0,0.0,0,0,0,2200000.0,21.44,0.4,0,Công ty cổ phần Việt Nam Kỹ Nghệ Súc Sản,VSN,UPCOM,2016-10-21,,0.0,Hàng tiêu dùng,2023,5,31,860345000000.0
