session_id,stock_id,open_price,close_price,high_price,low_price,volume_detail,ceiling_price,floor_price,buy_volume,sell_volume,net_volume,matched_value,adjust_price,change_percent,outstanding_share,name,code,stock_space,join_date,leave_date,init_price,category,year,month,day_of_month,volume_session
4816,2533,40.7,41.1,41.1,40.5,49200,0.0,0.0,0,0,0,2008540000.0,41.1,0.4,0,Công ty Cổ phần Chứng khoán Stanley Brothers,VUA,UPCOM,2022-01-25,,0.0,Tài chính,2023,5,18,452755000000.0
4815,2533,40.8,40.8,40.9,40.5,48100,0.0,0.0,0,0,0,1956810000.0,40.8,0.0,0,Công ty Cổ phần Chứng khoán Stanley Brothers,VUA,UPCOM,2022-01-25,,0.0,Tài chính,2023,5,19,610612000000.0
4814,2533,40.7,40.8,41.0,40.6,50100,0.0,0.0,0,0,0,2046570000.0,40.8,0.1,0,Công ty Cổ phần Chứng khoán Stanley Brothers,VUA,UPCOM,2022-01-25,,0.0,Tài chính,2023,5,22,541384000000.0
4813,2533,40.9,40.6,41.0,40.6,45600,0.0,0.0,0,0,0,1861130000.0,40.6,-0.3,0,Công ty Cổ phần Chứng khoán Stanley Brothers,VUA,UPCOM,2022-01-25,,0.0,Tài chính,2023,5,23,589042000000.0
4812,2533,40.8,40.5,40.9,40.5,49700,0.0,0.0,0,0,0,2022340000.0,40.5,-0.3,0,Công ty Cổ phần Chứng khoán Stanley Brothers,VUA,UPCOM,2022-01-25,,0.0,Tài chính,2023,5,24,417134000000.0
4811,2533,40.8,40.9,40.9,40.5,45200,0.0,0.0,0,0,0,1837800000.0,40.9,0.2,0,Công ty Cổ phần Chứng khoán Stanley Brothers,VUA,UPCOM,2022-01-25,,0.0,Tài chính,2023,5,25,457573000000.0
4810,2533,40.8,40.9,40.9,35.0,49800,0.0,0.0,0,0,0,2031110000.0,40.9,0.2,0,Công ty Cổ phần Chứng khoán Stanley Brothers,VUA,UPCOM,2022-01-25,,0.0,Tài chính,2023,5,26,867663000000.0
4809,2533,40.8,41.1,41.2,40.8,33700,0.0,0.0,0,0,0,1382840000.0,41.1,0.3,0,Công ty Cổ phần Chứng khoán Stanley Brothers,VUA,UPCOM,2022-01-25,,0.0,Tài chính,2023,5,29,598726000000.0
4808,2533,40.9,41.1,41.1,40.7,61200,0.0,0.0,0,0,0,2499310000.0,41.1,0.1,0,Công ty Cổ phần Chứng khoán Stanley Brothers,VUA,UPCOM,2022-01-25,,0.0,Tài chính,2023,5,30,797759000000.0
4807,2533,40.9,40.7,40.9,40.5,47300,0.0,0.0,0,0,0,1926480000.0,40.7,-0.1,0,Công ty Cổ phần Chứng khoán Stanley Brothers,VUA,UPCOM,2022-01-25,,0.0,Tài chính,2023,5,31,860345000000.0
4806,2533,40.8,41.0,41.2,40.5,40900,0.0,0.0,0,0,0,1670280000.0,41.0,0.3,0,Công ty Cổ phần Chứng khoán Stanley Brothers,VUA,UPCOM,2022-01-25,,0.0,Tài chính,2023,6,1,784243000000.0
4805,2533,40.8,41.2,41.3,40.8,50400,0.0,0.0,0,0,0,2071940000.0,41.2,0.4,0,Công ty Cổ phần Chứng khoán Stanley Brothers,VUA,UPCOM,2022-01-25,,0.0,Tài chính,2023,6,2,911677000000.0
4804,2533,41.0,41.1,41.3,40.9,35500,0.0,0.0,0,0,0,1458450000.0,41.1,0.0,0,Công ty Cổ phần Chứng khoán Stanley Brothers,VUA,UPCOM,2022-01-25,,0.0,Tài chính,2023,6,5,850691000000.0
4803,2533,41.0,41.5,41.5,40.8,56700,0.0,0.0,0,0,0,2330710000.0,41.5,0.4,0,Công ty Cổ phần Chứng khoán Stanley Brothers,VUA,UPCOM,2022-01-25,,0.0,Tài chính,2023,6,6,735226000000.0
4802,2533,41.1,41.2,41.2,40.8,51300,0.0,0.0,0,0,0,2103390000.0,41.2,0.1,0,Công ty Cổ phần Chứng khoán Stanley Brothers,VUA,UPCOM,2022-01-25,,0.0,Tài chính,2023,6,7,779549000000.0
4801,2533,41.0,40.9,41.3,40.9,29400,0.0,0.0,0,0,0,1208350000.0,40.9,-0.1,0,Công ty Cổ phần Chứng khoán Stanley Brothers,VUA,UPCOM,2022-01-25,,0.0,Tài chính,2023,6,8,972083000000.0
4800,2533,41.0,40.7,41.2,40.7,21600,0.0,0.0,0,0,0,884500000.0,40.7,-0.4,0,Công ty Cổ phần Chứng khoán Stanley Brothers,VUA,UPCOM,2022-01-25,,0.0,Tài chính,2023,6,9,784155000000.0
4799,2533,41.0,41.0,41.1,40.6,26800,0.0,0.0,0,0,0,1095710000.0,41.0,0.1,0,Công ty Cổ phần Chứng khoán Stanley Brothers,VUA,UPCOM,2022-01-25,,0.0,Tài chính,2023,6,12,637523000000.0
4798,2533,41.1,40.9,41.3,40.9,29500,0.0,0.0,0,0,0,1213570000.0,40.9,-0.2,0,Công ty Cổ phần Chứng khoán Stanley Brothers,VUA,UPCOM,2022-01-25,,0.0,Tài chính,2023,6,14,763309000000.0
4797,2533,41.1,41.0,41.3,40.9,21900,0.0,0.0,0,0,0,900020000.0,41.0,-0.1,0,Công ty Cổ phần Chứng khoán Stanley Brothers,VUA,UPCOM,2022-01-25,,0.0,Tài chính,2023,6,15,619574000000.0
4796,2533,41.2,40.9,41.5,40.9,25300,0.0,0.0,0,0,0,1042610000.0,40.9,-0.2,0,Công ty Cổ phần Chứng khoán Stanley Brothers,VUA,UPCOM,2022-01-25,,0.0,Tài chính,2023,6,16,897713000000.0
4795,2533,41.2,40.7,41.2,40.7,23600,0.0,0.0,0,0,0,963790000.0,40.7,-0.5,0,Công ty Cổ phần Chứng khoán Stanley Brothers,VUA,UPCOM,2022-01-25,,0.0,Tài chính,2023,6,19,554708000000.0
4794,2533,40.9,41.1,41.1,40.6,30300,0.0,0.0,0,0,0,1237500000.0,41.1,0.3,0,Công ty Cổ phần Chứng khoán Stanley Brothers,VUA,UPCOM,2022-01-25,,0.0,Tài chính,2023,6,20,557490000000.0
4793,2533,40.8,41.0,41.1,40.8,23600,0.0,0.0,0,0,0,965790000.0,41.0,0.2,0,Công ty Cổ phần Chứng khoán Stanley Brothers,VUA,UPCOM,2022-01-25,,0.0,Tài chính,2023,6,21,817903000000.0
4792,2533,41.0,40.8,41.2,40.8,16200,0.0,0.0,0,0,0,665130000.0,40.8,-0.1,0,Công ty Cổ phần Chứng khoán Stanley Brothers,VUA,UPCOM,2022-01-25,,0.0,Tài chính,2023,6,22,833329000000.0
4791,2533,41.1,41.3,41.3,40.9,24700,0.0,0.0,0,0,0,1015670000.0,41.3,0.2,0,Công ty Cổ phần Chứng khoán Stanley Brothers,VUA,UPCOM,2022-01-25,,0.0,Tài chính,2023,6,23,847219000000.0
4790,2533,41.1,41.2,41.3,40.7,30100,0.0,0.0,0,0,0,1232370000.0,41.2,0.1,0,Công ty Cổ phần Chứng khoán Stanley Brothers,VUA,UPCOM,2022-01-25,,0.0,Tài chính,2023,6,26,860095000000.0
4789,2533,40.9,41.0,41.3,40.8,23300,0.0,0.0,0,0,0,954500000.0,41.0,0.1,0,Công ty Cổ phần Chứng khoán Stanley Brothers,VUA,UPCOM,2022-01-25,,0.0,Tài chính,2023,6,27,567850000000.0
4788,2533,41.0,41.3,41.3,40.7,29200,0.0,0.0,0,0,0,1197170000.0,41.3,0.3,0,Công ty Cổ phần Chứng khoán Stanley Brothers,VUA,UPCOM,2022-01-25,,0.0,Tài chính,2023,6,28,659102000000.0
4787,2533,41.0,40.7,41.0,40.7,28200,0.0,0.0,0,0,0,1148840000.0,40.7,-0.3,0,Công ty Cổ phần Chứng khoán Stanley Brothers,VUA,UPCOM,2022-01-25,,0.0,Tài chính,2023,6,29,666695000000.0
4786,2533,40.7,40.6,41.0,40.6,20100,0.0,0.0,0,0,0,818920000.0,40.6,-0.1,0,Công ty Cổ phần Chứng khoán Stanley Brothers,VUA,UPCOM,2022-01-25,,0.0,Tài chính,2023,6,30,543269000000.0
4785,2533,40.7,41.0,41.0,40.6,27100,0.0,0.0,0,0,0,1107520000.0,41.0,0.3,0,Công ty Cổ phần Chứng khoán Stanley Brothers,VUA,UPCOM,2022-01-25,,0.0,Tài chính,2023,7,3,477651000000.0
4784,2533,40.9,41.1,41.2,40.8,20200,0.0,0.0,0,0,0,827030000.0,41.1,0.2,0,Công ty Cổ phần Chứng khoán Stanley Brothers,VUA,UPCOM,2022-01-25,,0.0,Tài chính,2023,7,4,638481000000.0
4783,2533,40.9,41.2,41.2,40.9,29700,0.0,0.0,0,0,0,1220100000.0,41.2,0.3,0,Công ty Cổ phần Chứng khoán Stanley Brothers,VUA,UPCOM,2022-01-25,,0.0,Tài chính,2023,7,5,701030000000.0
4782,2533,41.0,41.0,41.2,40.7,22700,0.0,0.0,0,0,0,928810000.0,41.0,-0.1,0,Công ty Cổ phần Chứng khoán Stanley Brothers,VUA,UPCOM,2022-01-25,,0.0,Tài chính,2023,7,6,637903000000.0
4781,2533,41.0,41.0,41.2,40.7,21700,0.0,0.0,0,0,0,888540000.0,41.0,0.1,0,Công ty Cổ phần Chứng khoán Stanley Brothers,VUA,UPCOM,2022-01-25,,0.0,Tài chính,2023,7,7,729580000000.0
4780,2533,40.9,41.2,41.2,40.9,22100,0.0,0.0,0,0,0,908760000.0,41.2,0.3,0,Công ty Cổ phần Chứng khoán Stanley Brothers,VUA,UPCOM,2022-01-25,,0.0,Tài chính,2023,7,10,1270370000000.0
4779,2533,41.2,41.4,41.4,41.0,29100,0.0,0.0,0,0,0,1198930000.0,41.4,0.3,0,Công ty Cổ phần Chứng khoán Stanley Brothers,VUA,UPCOM,2022-01-25,,0.0,Tài chính,2023,7,11,779753000000.0
4778,2533,41.2,41.1,41.3,40.9,27200,0.0,0.0,0,0,0,1118660000.0,41.1,-0.1,0,Công ty Cổ phần Chứng khoán Stanley Brothers,VUA,UPCOM,2022-01-25,,0.0,Tài chính,2023,7,12,885074000000.0
4777,2533,41.1,41.4,41.4,41.1,22600,0.0,0.0,0,0,0,933700000.0,41.4,0.3,0,Công ty Cổ phần Chứng khoán Stanley Brothers,VUA,UPCOM,2022-01-25,,0.0,Tài chính,2023,7,13,793503000000.0
4776,2533,41.2,40.9,41.2,40.9,27900,0.0,0.0,0,0,0,1143970000.0,40.9,-0.4,0,Công ty Cổ phần Chứng khoán Stanley Brothers,VUA,UPCOM,2022-01-25,,0.0,Tài chính,2023,7,14,907996000000.0
4775,2533,41.0,41.2,41.3,41.0,28600,0.0,0.0,0,0,0,1177640000.0,41.2,0.2,0,Công ty Cổ phần Chứng khoán Stanley Brothers,VUA,UPCOM,2022-01-25,,0.0,Tài chính,2023,7,17,838562000000.0
4774,2533,41.2,41.0,41.3,40.9,27200,0.0,0.0,0,0,0,1118020000.0,41.0,-0.2,0,Công ty Cổ phần Chứng khoán Stanley Brothers,VUA,UPCOM,2022-01-25,,0.0,Tài chính,2023,7,18,673486000000.0
4773,2533,41.1,41.0,41.2,40.9,22800,0.0,0.0,0,0,0,936110000.0,41.0,-0.1,0,Công ty Cổ phần Chứng khoán Stanley Brothers,VUA,UPCOM,2022-01-25,,0.0,Tài chính,2023,7,19,739111000000.0
4772,2533,41.1,41.0,41.1,40.7,30200,0.0,0.0,0,0,0,1236080000.0,41.0,-0.1,0,Công ty Cổ phần Chứng khoán Stanley Brothers,VUA,UPCOM,2022-01-25,,0.0,Tài chính,2023,7,20,602157000000.0
