session_id,stock_id,open_price,close_price,high_price,low_price,volume_detail,ceiling_price,floor_price,buy_volume,sell_volume,net_volume,matched_value,adjust_price,change_percent,outstanding_share,name,code,stock_space,join_date,leave_date,init_price,category,year,month,day_of_month,volume_session
8530,3753,10.8,11.25,11.3,10.75,100600,0.0,0.0,0,0,0,1110000000.0,6.53,0.45,0,Công ty cổ phần Tập đoàn Yeah1,YEG,HOSE,2018-06-26,,0.0,Dịch vụ,2023,3,9,9605920000000.0
8529,3753,11.15,11.2,11.2,11.0,86900,0.0,0.0,0,0,0,961000000.0,6.5,-0.1,0,Công ty cổ phần Tập đoàn Yeah1,YEG,HOSE,2018-06-26,,0.0,Dịch vụ,2023,3,10,7802560000000.0
8528,3753,11.05,10.7,11.2,10.5,134000,0.0,0.0,0,0,0,1445000000.0,6.21,-0.5,0,Công ty cổ phần Tập đoàn Yeah1,YEG,HOSE,2018-06-26,,0.0,Dịch vụ,2023,3,13,8852640000000.0
8527,3753,10.6,10.5,10.9,10.2,64100,0.0,0.0,0,0,0,667000000.0,6.1,-0.2,0,Công ty cổ phần Tập đoàn Yeah1,YEG,HOSE,2018-06-26,,0.0,Dịch vụ,2023,3,14,9157830000000.0
8526,3753,10.8,10.8,10.95,10.5,32200,0.0,0.0,0,0,0,345000000.0,6.27,0.3,0,Công ty cổ phần Tập đoàn Yeah1,YEG,HOSE,2018-06-26,,0.0,Dịch vụ,2023,3,15,9044830000000.0
8525,3753,10.7,10.7,10.8,10.4,58100,0.0,0.0,0,0,0,616000000.0,6.21,-0.1,0,Công ty cổ phần Tập đoàn Yeah1,YEG,HOSE,2018-06-26,,0.0,Dịch vụ,2023,3,16,7993400000000.0
8524,3753,10.8,10.6,10.8,10.5,18000,0.0,0.0,0,0,0,190000000.0,6.16,-0.1,0,Công ty cổ phần Tập đoàn Yeah1,YEG,HOSE,2018-06-26,,0.0,Dịch vụ,2023,3,17,9056930000000.0
8523,3753,10.7,9.86,10.7,9.86,160400,0.0,0.0,0,0,0,1629000000.0,5.73,-0.74,0,Công ty cổ phần Tập đoàn Yeah1,YEG,HOSE,2018-06-26,,0.0,Dịch vụ,2023,3,20,8000550000000.0
8522,3753,10.2,10.0,10.3,9.9,100700,0.0,0.0,0,0,0,1003000000.0,5.81,0.1,0,Công ty cổ phần Tập đoàn Yeah1,YEG,HOSE,2018-06-26,,0.0,Dịch vụ,2023,3,21,6678120000000.0
8521,3753,10.0,9.92,10.35,9.9,59700,0.0,0.0,0,0,0,596000000.0,5.76,-0.08,0,Công ty cổ phần Tập đoàn Yeah1,YEG,HOSE,2018-06-26,,0.0,Dịch vụ,2023,3,22,7063540000000.0
8520,3753,9.81,9.9,10.05,9.81,21500,0.0,0.0,0,0,0,213000000.0,5.75,0.0,0,Công ty cổ phần Tập đoàn Yeah1,YEG,HOSE,2018-06-26,,0.0,Dịch vụ,2023,3,23,6539990000000.0
8519,3753,10.0,10.0,10.0,9.71,48200,0.0,0.0,0,0,0,478000000.0,5.81,0.1,0,Công ty cổ phần Tập đoàn Yeah1,YEG,HOSE,2018-06-26,,0.0,Dịch vụ,2023,3,24,8145960000000.0
8518,3753,9.83,9.9,10.35,9.5,90500,0.0,0.0,0,0,0,887000000.0,5.75,-0.1,0,Công ty cổ phần Tập đoàn Yeah1,YEG,HOSE,2018-06-26,,0.0,Dịch vụ,2023,3,27,8430340000000.0
8517,3753,9.9,9.9,10.2,9.83,46500,0.0,0.0,0,0,0,464000000.0,5.75,0.0,0,Công ty cổ phần Tập đoàn Yeah1,YEG,HOSE,2018-06-26,,0.0,Dịch vụ,2023,3,28,9714650000000.0
8516,3753,9.91,9.9,9.99,9.86,35700,0.0,0.0,0,0,0,353000000.0,5.75,0.0,0,Công ty cổ phần Tập đoàn Yeah1,YEG,HOSE,2018-06-26,,0.0,Dịch vụ,2023,3,29,7305170000000.0
8515,3753,10.1,9.94,10.1,9.9,41000,0.0,0.0,0,0,0,407000000.0,5.77,0.04,0,Công ty cổ phần Tập đoàn Yeah1,YEG,HOSE,2018-06-26,,0.0,Dịch vụ,2023,3,30,9656120000000.0
8514,3753,9.91,9.98,10.0,9.91,25300,0.0,0.0,0,0,0,251000000.0,5.8,0.08,0,Công ty cổ phần Tập đoàn Yeah1,YEG,HOSE,2018-06-26,,0.0,Dịch vụ,2023,3,31,10498800000000.0
8513,3753,10.0,9.97,10.2,9.8,87900,0.0,0.0,0,0,0,872000000.0,5.79,-0.03,0,Công ty cổ phần Tập đoàn Yeah1,YEG,HOSE,2018-06-26,,0.0,Dịch vụ,2023,4,3,12983200000000.0
8512,3753,10.0,10.35,10.4,9.97,103400,0.0,0.0,0,0,0,1054000000.0,6.01,0.35,0,Công ty cổ phần Tập đoàn Yeah1,YEG,HOSE,2018-06-26,,0.0,Dịch vụ,2023,4,4,12386800000000.0
8511,3753,10.35,10.4,10.6,10.0,63700,0.0,0.0,0,0,0,658000000.0,6.04,0.0,0,Công ty cổ phần Tập đoàn Yeah1,YEG,HOSE,2018-06-26,,0.0,Dịch vụ,2023,4,5,11435900000000.0
8510,3753,10.4,10.65,10.8,10.4,128700,0.0,0.0,0,0,0,1375000000.0,6.18,0.25,0,Công ty cổ phần Tập đoàn Yeah1,YEG,HOSE,2018-06-26,,0.0,Dịch vụ,2023,4,6,14836000000000.0
8509,3753,10.65,10.5,10.8,10.35,21700,0.0,0.0,0,0,0,227000000.0,6.1,-0.2,0,Công ty cổ phần Tập đoàn Yeah1,YEG,HOSE,2018-06-26,,0.0,Dịch vụ,2023,4,7,9555430000000.0
8508,3753,10.6,10.2,10.65,10.15,85800,0.0,0.0,0,0,0,881000000.0,5.92,-0.3,0,Công ty cổ phần Tập đoàn Yeah1,YEG,HOSE,2018-06-26,,0.0,Dịch vụ,2023,4,10,13080300000000.0
8507,3753,10.1,9.93,10.1,9.6,65200,0.0,0.0,0,0,0,645000000.0,5.77,-0.27,0,Công ty cổ phần Tập đoàn Yeah1,YEG,HOSE,2018-06-26,,0.0,Dịch vụ,2023,4,11,10352300000000.0
8506,3753,9.94,10.2,10.4,9.94,87600,0.0,0.0,0,0,0,890000000.0,5.92,0.3,0,Công ty cổ phần Tập đoàn Yeah1,YEG,HOSE,2018-06-26,,0.0,Dịch vụ,2023,4,12,11237900000000.0
8505,3753,10.2,10.15,10.4,10.15,44600,0.0,0.0,0,0,0,457000000.0,5.89,-0.05,0,Công ty cổ phần Tập đoàn Yeah1,YEG,HOSE,2018-06-26,,0.0,Dịch vụ,2023,4,13,10048100000000.0
